Rank,Peak,All Time Peak,Actual gross,Adjusted gross (in 2022 dollars),Artist,Tour title,Year(s),Shows,Average gross,Ref.,Start Year,End Year
1,1,2,780000000,780000000,Taylor Swift,The Eras Tour ,2023–2024,56,13928571,[1],2023,2024
2,1,7,579800000,579800000,Beyoncé,Renaissance World Tour,2023,56,10353571,[3],2023,
3,1,2,411000000,560622615,Madonna,Sticky & Sweet Tour ,2008–2009,85,4835294,[6],2008,2009
4,2,10,397300000,454751555,Pink,Beautiful Trauma World Tour,2018–2019,156,2546795,[7],2018,2019
5,2,,345675146,402844849,Taylor Swift,Reputation Stadium Tour,2018,53,6522173,[8],2018,
6,2,10,305158363,388978496,Madonna,The MDNA Tour,2012,88,3467709,[9],2012,
7,2,,280000000,381932682,Celine Dion,Taking Chances World Tour,2008–2009,131,2137405,[11],2008,2009
7,,,257600000,257600000,Pink,Summer Carnival ,2023–2024,41,6282927,[12],2023,2024
9,,,256084556,312258401,Beyoncé,The Formation World Tour,2016,49,5226215,[13],2016,
10,,,250400000,309141878,Taylor Swift,The 1989 World Tour,2015,85,2945882,[14],2015,
11,,,229100000,283202896,Beyoncé,The Mrs Carter Show World Tour,2013–2014,132,1735606,[15][16],2013,2014
12,,14,227400000,295301479,Lady Gaga,The Monster Ball Tour ,2009–2011,203,1118227,[18],2009,2011
13,,,204000000,251856802,Katy Perry,Prismatic World Tour,2014–2015,151,1350993,[19],2014,2015
14,1,,200000000,299676265,Cher,Living Proof: The Farewell Tour ,2002–2005,325,615385,[20],2002,2005
15,2,,194000000,281617035,Madonna,Confessions Tour,2006,60,3233333,[5],2006,
16,,,184000000,227452347,Pink,The Truth About Love Tour,2013–2014,142,1295775,[22],2013,2014
17,,,170000000,213568571,Lady Gaga,Born This Way Ball,2012–2013,98,1734694,[d],2012,2013
18,,,169800000,207046755,Madonna,Rebel Heart Tour,2015–2016,82,2070732,[4],2015,2016
19,,,167700000,204486106,Adele,Adele Live 2016,2016–2017,121,1385950,[25],2016,2017
20,,,150000000,185423109,Taylor Swift,The Red Tour,2013–2014,86,1744186,[26],2013,2014
